Chapter	Id	Category	Conditions	Url	Name	
2期3章	844	10	「ポップ×ピンクコンテスト」のけっしょうせんをクリアする		ポップンク！ウィナー	
2期3章	843	10	「フラワー×むらさきコンテスト」のけっしょうせんをクリアする		フラさき！ウィナー	
2期3章	842	10	「くろ×ゴシックコンテスト」のけっしょうせんをクリアする		くシック！ウィナー	
2期3章	66	3	プリマジスタジオだい3しょうでプリマジを30かいあそぶ		プリマジスタジオ第3章プリマジマスター	
2期3章	519	5	「おすましおだいりさまチャンス」を1かいあそぶ		すましおすましひなまつり	
2期3章	309	6	プリマジスタジオだい3しょうのさいごのしゅうに10かいあそぶ ※2023年3月2日(木)～3月8日(水)		プリマジスタジオ第3章ラストプリンセス	
2期3章	326	6	プリマジスタジオだい3しょうのさいしょのしゅうに10かいあそぶ ※2023年1月26日(木)～2月1日(水)		ファーストプリンセス2023冬	
2期3章	612	8	あつまれ！ベストフレンドではにたんのなかよしどが10になる		はにたん大好き💛	
2期3章	424	3	「バズパズルピピピース」を10かいあそぶ		バズパズルピピピース	
2期3章	710	5	店頭大会「プリンセスコレクション～はじまりのプリンセス～」を1かいあそぶ		はじまりのおしゃれプリンセス	
2期1章	841	10	「むらさき×ラブリーコンテスト」のけっしょうせんをクリアする		むらブリー！ウィナー	
2期1章	840	10	「みずいろ×ジュエルコンテスト」のけっしょうせんをクリアする		みジュエル！ウィナー	
2期2章	518	5	「パウダースノーナイトチャンス」を1かいあそぶ		キラふわスノーナイト	
2期1章	839	10	「きいろ×スイーツコンテスト」のけっしょうせんをクリアする		きイーツ！ウィナー	
2期1章	838	10	「アニマル×スタイリッシュコンテスト」のけっしょうせんをクリアする		アニマリッシュ！ウィナー	
2期1章	837	10	「ライブ×デジタルコンテスト」のけっしょうせんをクリアする		ラジタル！ウィナー	
2期1章	836	10	「くろ×クールコンテスト」のけっしょうせんをクリアする		くろール！ウィナー	
2期1章	835	10	「オレンジ×キュートコンテスト」のけっしょうせんをクリアする		オレート！ウィナー	
2期2章	423	3	「どっちなどっちもどっちでミラクルNo.1」を10かいあそぶ		どっちなどっちもどっちでミラクルNo.1	
2期2章	165	1	プリマジスタランクが75になる		15星プリマジスタ	
2期2章	65	3	プリマジスタジオだい2しょうでプリマジを30かいあそぶ		プリマジスタジオ第2章プリマジマスター	
2期2章	604	8	あつまれ！ベストフレンドでチムムのなかよしどが10になる		チムム大好き💛	
2期2章	325	6	プリマジスタジオだい2しょうのさいしょのしゅうに10かいあそぶ
※2022年12月15日(木)～12月21日(水)		ファーストプリンセス2022冬	
2期2章	308	6	プリマジスタジオだい2しょうのさいごのしゅうに10かいあそぶ 
